4322806;22810;289.43;78.8;750885
4322855;1974;113.89;17.3;49195
4322905;5311;268.24;19.8;114582
4323002;239384;1497.09;159.9;2414171
4323101;5285;193.06;27.4;76207
4323200;3036;238.27;12.7;140507
4323309;3207;107.82;29.7;119314
4323358;2152;152.17;14.1;83777
4323408;4221;181.33;23.3;174817
4323457;4221;507.94;8.3;73684
4323507;2832;77.46;36.6;50664
4323606;1569;119.33;13.2;39755
4323705;2759;89.80;31.1;52083
4323754;3485;259.61;13.4;62570
4323770;2793;63.67;43.6;94171
4323804;12434;60.69;204.9;289622
